Date,Sub_name,Fdr_name,Time off,Time on,Delay hrs.,Line_section,new
2017-11-02 00:00:00,Fullerton,Kaluthara North,8:19 h,8:38 h,0.32,Section 1,overwritten
2017-11-05 00:00:00,Fullerton,Kaluthara North,11:28 h,11:58 h,0.5,Section 2,overwritten
2017-11-06 00:00:00,Fullerton,Kaluthara North,14:28 h,14:38 h,0.17,Section 1,overwritten
2017-11-08 00:00:00,Fullerton,Kaluthara North,10:08 h,11:03 h,0.92,Section 1,overwritten
2017-11-14 00:00:00,Fullerton,Kaluthara North,14:55 h,15:30 h,0.58,Section 1,overwritten
2017-11-16 00:00:00,Fullerton,Kaluthara North,20:10 h,20:38 h,0.47,Section 1,overwritten
2017-11-17 00:00:00,Fullerton,Kaluthara North,8:02 h,8:12 h,0.17,Section 2,overwritten
2017-11-23 00:00:00,Fullerton,Kaluthara North,8:44 h,8:57 h,0.22,Section 2,overwritten
2017-11-24 00:00:00,Fullerton,Kaluthara North,7:31 h,7:45 h,0.23,Section 2,overwritten
2017-12-06 00:00:00,Fullerton,Kaluthara North,9:55 h,10:25 h,0.5,Section 1,overwritten
